Dataset,Max Gini Index,Min Gini Index,Mean Gini Index
ACSF1,0.9752139901297261,0.0005827554856603356,0.3947864137473186
Adiac,0.8288846872876539,0.07929667330658119,0.32444613958167123
ArrowHead,0.6505373065026823,0.06717907632873776,0.3342770946917631
Beef,0.7132497219917533,0.22606569384122455,0.49718973979715575
Car,0.7631033888619055,0.15050225346391888,0.39019070065364203
Chinatown,0.5697934997622838,0.011900975263854696,0.20944060981064402
ChlorineConcentration,0.887479814117041,0.11795039824198572,0.36629905829720366
CinCECGTorso,0.9112726021742761,0.2723329247977859,0.7226335103336486
Computers,0.9982638888888888,0.0,0.7182438299473018
CricketX,0.8835970908827088,0.06440471683262161,0.4659235724525106
CricketY,0.8343594457549639,0.13314391380076118,0.48016075324804763
CricketZ,0.8811521063520493,0.09555605709128179,0.46888719928468653
Crop,0.7618830938084824,0.0023368463307479326,0.25390073957132153
DiatomSizeReduction,0.7355327451448568,0.17682467447622485,0.3798538280850751
DistalPhalanxOutlineAgeGroup,0.7965428735592109,0.021824176966556363,0.3077892585716102
DistalPhalanxOutlineCorrect,0.7965428735592109,0.021824176966556363,0.3056799822416883
DistalPhalanxTW,0.7965428735592109,0.021824176966556363,0.30761194151112137
ECG200,0.7386553385271364,0.015369644809052785,0.3441122797644266
ECG5000,0.7726521334123465,0.014274168565536538,0.3882989578081882
EOGHorizontalSignal,0.8927307466716763,0.19724954624272983,0.6800210945175447
EOGVerticalSignal,0.8747261539430882,0.025360720364549505,0.6642486014049396
ElectricDevices,0.9871794871794872,-6.661338147750939e-16,0.39863104690414625
EthanolLevel,0.7792073378011433,0.36919454078912484,0.5671692819167259
FaceAll,0.7085030302344845,0.012292542393632644,0.3506925539198957
FacesUCR,0.7124493301324683,0.013597221259159853,0.35604590067643976
FiftyWords,0.8331409060216608,0.06874621697458017,0.42637121095215325
Fish,0.7393467780732991,0.07074046455804361,0.3639065926268088
FordA,0.8590868648782433,0.03463706896506291,0.3870034096305688
FordB,0.8149211018214045,0.04598221285835047,0.38139124714695005
FreezerRegularTrain,0.9472509495958381,0.18499822536316346,0.6219632577292636
FreezerSmallTrain,0.9217026675437907,0.22364100585751345,0.631926279646236
Ham,0.8881313846105273,0.206056453994923,0.4656600838184024
HandOutlines,0.7482226009677572,0.09131505784062743,0.3976579223192051
Haptics,0.8189874167216284,0.03441977286242415,0.4022840696350968
Herring,0.5939810705375597,0.18465826116850592,0.38083515541794083
HouseTwenty,0.9327290876668954,0.18195945319792983,0.6808795277014361
InlineSkate,0.7898894588577984,0.22957676814546135,0.5072059295249677
InsectWingbeatSound,0.9016088677777067,0.14106905171374406,0.49737585789894784
ItalyPowerDemand,0.6315843094146811,0.00640633493709164,0.22436285151934326
LargeKitchenAppliances,0.9982638888888888,0.0,0.8280600873239026
Lightning2,0.9042207302954575,0.2915421228743914,0.6540548392866901
Lightning7,0.9372599507746264,0.17182376368298358,0.554578972931942
Mallat,0.9822270819162269,0.2496374432930013,0.5207544714549975
MedicalImages,0.9125957647651081,0.01844370121361738,0.41878323764696684
MiddlePhalanxOutlineAgeGroup,0.7925637931446108,0.028080259644187144,0.30541049643889095
MiddlePhalanxOutlineCorrect,0.8040850370321564,0.02719101111450939,0.3054815765528589
MiddlePhalanxTW,0.7925637931446108,0.028080259644187144,0.30384485099880976
MixedShapesRegularTrain,0.8093153585802108,0.10506102658897742,0.4303674153991694
MixedShapesSmallTrain,0.7904287597054167,0.15219003836576683,0.4268099634689329
MoteStrain,0.87722439058702,0.04214737028918747,0.3331133916210288
NonInvasiveFetalECGThorax1,0.7342381248551496,0.13278671134821507,0.47566693529966375
NonInvasiveFetalECGThorax2,0.7495326884447335,0.13831854500922214,0.4915820895849318
OSULeaf,0.6476763623720511,0.0689453440068859,0.34881985563111784
PhalangesOutlinesCorrect,0.8040850370321564,0.021824176966556363,0.3067313142899068
Phoneme,0.8798374783813192,0.010410796358205188,0.4425214517945776
PigAirwayPressure,0.7968213948264569,0.1455090284776731,0.6153915075381193
PigArtPressure,0.8145770378782631,0.04613008354522863,0.3802537098324191
PigCVP,0.7924175909903142,0.0932744922897717,0.3811245705274707
PowerCons,0.8077440458713897,0.0266637244692407,0.37563013125288924
ProximalPhalanxOutlineAgeGroup,0.7781941204988002,0.056063775861069365,0.3074174762994575
ProximalPhalanxOutlineCorrect,0.7781941204988002,0.056063775861069365,0.30903238407517325
